Indiana,51983
Florida,48825
Delaware,57756
Rhode Island,55701
Connecticut,72889
Pennsylvania,60389
Oklahoma,47077
New York,58005
Ohio,53301
New Jersey,68357
Nevada,52008
Wyoming,60925
Nebraska,60747
West Virginia,42824
North Dakota,57415
Kansas,54865
South Carolina,46360
Alaska,75112
North Carolina,50797
Georgia,50768
Alabama,44509
Arizona,52248
Virginia,61486
Maine,50756
New Hampshire,75675
Illinois,60413
Montana,51395
Massachusetts,67861
South Dakota,55065
Mississippi,40037
Missouri,59196
New Mexico,45119
California,63636
Michigan,54203
Wisconsin,55425
Vermont,59494
Oregon,60834
Louisiana,45922
Hawaii,64514
Washington,67243
Idaho,51624
Utah,66258
Colorado,66596
Minnesota,68730
Texas,56473
Arkansas,42798
Kentucky,42387
District of Columbia,70071
Maryland,73594
Tennessee,47330
Iowa,60855
